-num, -same, 5, 0, 1, +before, 1, -coref.
+num, -same, 4, 2, 3, +before, 0, -coref.
+num, -same, 3, 3, 3, +before, 1, -coref.
+num, -same, 3, 3, 3, +before, 0, -coref.
+num, +same, 2, 0, 3, +before, 0, -coref.
+num, +same, 1, 1, 3, +before, 0, -coref.
+num, +same, 0, 2, 3, +before, 0, +coref.
-num, +same, 0, 4, 3, -before, 0, -coref.
+num, +same, 1, 5, 3, -before, 0, +coref.

-num, -same, 4, 0, 1, +before, 0, -coref.
+num, -same, 3, 1, 1, +before, 1, -coref.
+num, -same, 3, 1, 1, +before, 0, -coref.
+num, -same, 2, 2, 1, +before, 1, -coref.
-num, -same, 2, 2, 1, +before, 0, -coref.
-num, -same, 1, 3, 1, +before, 0, -coref.
+num, +same, 0, 0, 1, +before, 0, +coref.
+num, +same, 0, 2, 1, -before, 0, -coref.
-num, +same, 1, 3, 1, -before, 0, -coref.
+num, +same, 2, 4, 1, -before, 1, -coref.
+num, +same, 2, 4, 1, -before, 1, -coref.
+num, +same, 2, 4, 1, -before, 1, -coref.
+num, +same, 2, 4, 1, -before, 0, -coref.
+num, +same, 3, 5, 1, -before, 1, -coref.
-num, +same, 3, 5, 1, -before, 0, -coref.
+num, +same, 4, 6, 1, -before, 1, -coref.
+num, +same, 4, 6, 1, -before, 0, -coref.
+num, +same, 5, 7, 1, -before, 1, -coref.
+num, +same, 5, 7, 1, -before, 1, -coref.
+num, +same, 5, 7, 1, -before, 0, -coref.

-num, -same, 2, 0, 2, +before, 0, -coref.
+num, +same, 1, 0, 2, +before, 0, +coref.
+num, +same, 0, 1, 2, +before, 0, -coref.
+num, +same, 0, 3, 2, -before, 0, -coref.
+num, +same, 1, 4, 2, -before, 0, -coref.
-num, +same, 2, 5, 2, -before, 0, -coref.
+num, +same, 3, 6, 2, -before, 1, -coref.
-num, +same, 3, 6, 2, -before, 0, -coref.

+num, -same, 12, 0, 4, +before, 0, -coref.
-num, -same, 11, 1, 4, +before, 0, -coref.
+num, -same, 10, 2, 4, +before, 0, -coref.
-num, -same, 9, 3, 4, +before, 0, -coref.
+num, -same, 8, 4, 4, +before, 1, -coref.
+num, -same, 8, 4, 4, +before, 0, -coref.
+num, -same, 7, 5, 4, +before, 0, -coref.
+num, -same, 6, 6, 4, +before, 0, -coref.
+num, -same, 5, 7, 4, +before, 0, -coref.
-num, -same, 4, 8, 4, +before, 0, -coref.
+num, +same, 3, 0, 4, +before, 0, +coref.
+num, +same, 2, 1, 4, +before, 1, -coref.
+num, +same, 2, 1, 4, +before, 0, -coref.
+num, +same, 1, 2, 4, +before, 0, -coref.
+num, +same, 0, 3, 4, +before, 0, -coref.
+num, +same, 0, 5, 4, -before, 0, +coref.
+num, +same, 1, 6, 4, -before, 0, -coref.
+num, +same, 2, 7, 4, -before, 1, -coref.
+num, +same, 2, 7, 4, -before, 0, -coref.
+num, +same, 3, 8, 4, -before, 1, -coref.
-num, +same, 3, 8, 4, -before, 0, -coref.
-num, +same, 4, 9, 4, -before, 0, -coref.
-num, +same, 5, 10, 4, -before, 0, -coref.

+num, -same, 11, 0, 3, +before, 0, -coref.
+num, -same, 10, 1, 3, +before, 0, +coref.
+num, -same, 9, 2, 3, +before, 0, -coref.
-num, -same, 8, 3, 3, +before, 0, -coref.
-num, -same, 7, 4, 3, +before, 0, -coref.
+num, -same, 6, 5, 3, +before, 0, -coref.
+num, -same, 5, 6, 3, +before, 1, +coref.
+num, -same, 5, 6, 3, +before, 0, -coref.
+num, -same, 4, 7, 3, +before, 0, -coref.
+num, -same, 3, 8, 3, +before, 0, -coref.
+num, +same, 2, 0, 3, +before, 0, -coref.
+num, +same, 1, 1, 3, +before, 0, +coref.
+num, +same, 0, 2, 3, +before, 0, -coref.
-num, +same, 0, 4, 3, -before, 0, -coref.
+num, +same, 1, 5, 3, -before, 0, -coref.
+num, +same, 2, 6, 3, -before, 0, -coref.
-num, +same, 3, 7, 3, -before, 0, -coref.
-num, +same, 4, 8, 3, -before, 0, -coref.
+num, +same, 5, 9, 3, -before, 0, -coref.
-num, +same, 6, 10, 3, -before, 0, -coref.
-num, +same, 7, 11, 3, -before, 0, -coref.
+num, +same, 8, 12, 3, -before, 1, -coref.
+num, +same, 8, 12, 3, -before, 0, -coref.

+num, -same, 20, 0, 8, +before, 0, -coref.
+num, -same, 19, 1, 8, +before, 0, -coref.
+num, -same, 18, 2, 8, +before, 0, -coref.
+num, -same, 17, 3, 8, +before, 0, -coref.
-num, -same, 16, 4, 8, +before, 0, -coref.
+num, -same, 15, 5, 8, +before, 0, -coref.
+num, -same, 14, 6, 8, +before, 0, -coref.
-num, -same, 13, 7, 8, +before, 0, -coref.
-num, -same, 12, 8, 8, +before, 0, -coref.
+num, -same, 11, 9, 8, +before, 0, -coref.
-num, -same, 10, 10, 8, +before, 0, -coref.
-num, -same, 9, 11, 8, +before, 0, -coref.
+num, -same, 8, 12, 8, +before, 1, -coref.
+num, -same, 8, 12, 8, +before, 0, -coref.
+num, +same, 7, 0, 8, +before, 0, -coref.
+num, +same, 6, 1, 8, +before, 0, -coref.
+num, +same, 5, 2, 8, +before, 0, -coref.
+num, +same, 4, 3, 8, +before, 0, -coref.
-num, +same, 3, 4, 8, +before, 0, -coref.
+num, +same, 2, 5, 8, +before, 1, -coref.
+num, +same, 2, 5, 8, +before, 0, +coref.
+num, +same, 1, 6, 8, +before, 0, -coref.
+num, +same, 0, 7, 8, +before, 0, -coref.
+num, +same, 0, 9, 8, -before, 0, -coref.

+num, -same, 4, 0, 2, +before, 0, -coref.
+num, -same, 3, 1, 2, +before, 1, -coref.
+num, -same, 3, 1, 2, +before, 0, -coref.
+num, -same, 2, 2, 2, +before, 0, -coref.
+num, +same, 1, 0, 2, +before, 1, -coref.
+num, +same, 1, 0, 2, +before, 0, -coref.
+num, +same, 0, 1, 2, +before, 0, +coref.
+num, +same, 0, 3, 2, -before, 0, -coref.
+num, +same, 1, 4, 2, -before, 0, -coref.
-num, +same, 2, 5, 2, -before, 0, -coref.
-num, +same, 3, 6, 2, -before, 0, -coref.
+num, +same, 4, 7, 2, -before, 0, -coref.

+num, -same, 8, 0, 1, +before, 1, -coref.
+num, -same, 8, 0, 1, +before, 0, -coref.
+num, -same, 7, 1, 1, +before, 0, +coref.
+num, -same, 6, 2, 1, +before, 0, +coref.
+num, -same, 5, 3, 1, +before, 0, -coref.
+num, -same, 4, 4, 1, +before, 0, -coref.
-num, -same, 3, 5, 1, +before, 0, -coref.
-num, -same, 2, 6, 1, +before, 0, -coref.
+num, -same, 1, 7, 1, +before, 0, -coref.
+num, +same, 0, 0, 1, +before, 0, +coref.
+num, +same, 0, 2, 1, -before, 0, -coref.
+num, +same, 1, 3, 1, -before, 0, -coref.
+num, +same, 2, 4, 1, -before, 1, -coref.
+num, +same, 2, 4, 1, -before, 0, -coref.
+num, +same, 3, 5, 1, -before, 0, -coref.
-num, +same, 4, 6, 1, -before, 0, -coref.

-num, -same, 2, 0, 1, +before, 0, +coref.
+num, -same, 1, 1, 1, +before, 1, -coref.
+num, -same, 1, 1, 1, +before, 0, -coref.
+num, +same, 0, 0, 1, +before, 0, +coref.
+num, +same, 0, 2, 1, -before, 0, -coref.

+num, -same, 6, 0, 3, +before, 1, -coref.
+num, -same, 6, 0, 3, +before, 0, -coref.
-num, -same, 5, 1, 3, +before, 0, -coref.
+num, -same, 4, 2, 3, +before, 0, -coref.
-num, -same, 3, 3, 3, +before, 0, -coref.
+num, +same, 2, 0, 3, +before, 0, -coref.
+num, +same, 1, 1, 3, +before, 0, -coref.
-num, +same, 0, 2, 3, +before, 1, -coref.
+num, +same, 0, 2, 3, +before, 0, +coref.
+num, +same, 0, 4, 3, -before, 0, -coref.
-num, +same, 1, 5, 3, -before, 0, -coref.
+num, +same, 2, 6, 3, -before, 1, -coref.
+num, +same, 2, 6, 3, -before, 1, -coref.
+num, +same, 2, 6, 3, -before, 0, -coref.

+num, -same, 4, 0, 0, +before, 1, -coref.
+num, -same, 4, 0, 0, +before, 1, -coref.
+num, -same, 4, 0, 0, +before, 0, +coref.
-num, -same, 3, 1, 0, +before, 0, -coref.
+num, -same, 2, 2, 0, +before, 0, -coref.
+num, -same, 1, 3, 0, +before, 0, -coref.
+num, -same, 0, 4, 0, +before, 0, -coref.
+num, +same, 0, 1, 0, -before, 0, +coref.
+num, +same, 1, 2, 0, -before, 1, -coref.
+num, +same, 1, 2, 0, -before, 0, -coref.
+num, +same, 2, 3, 0, -before, 1, -coref.
+num, +same, 2, 3, 0, -before, 0, -coref.
+num, +same, 3, 4, 0, -before, 0, -coref.

-num, -same, 13, 0, 4, +before, 1, -coref.
+num, -same, 13, 0, 4, +before, 0, +coref.
-num, -same, 12, 1, 4, +before, 0, -coref.
-num, -same, 11, 2, 4, +before, 0, -coref.
+num, -same, 10, 3, 4, +before, 0, -coref.
+num, -same, 9, 4, 4, +before, 0, -coref.
-num, -same, 8, 5, 4, +before, 0, -coref.
+num, -same, 7, 6, 4, +before, 0, -coref.
-num, -same, 6, 7, 4, +before, 0, -coref.
+num, -same, 5, 8, 4, +before, 0, -coref.
-num, -same, 4, 9, 4, +before, 0, -coref.
-num, +same, 3, 0, 4, +before, 0, -coref.
+num, +same, 2, 1, 4, +before, 0, +coref.
-num, +same, 1, 2, 4, +before, 0, -coref.
+num, +same, 0, 3, 4, +before, 0, -coref.
+num, +same, 0, 5, 4, -before, 0, -coref.
+num, +same, 1, 6, 4, -before, 0, -coref.

-num, -same, 5, 0, 1, +before, 0, -coref.
+num, -same, 4, 1, 1, +before, 1, -coref.
+num, -same, 4, 1, 1, +before, 1, -coref.
-num, -same, 4, 1, 1, +before, 0, -coref.
-num, -same, 3, 2, 1, +before, 0, -coref.
+num, -same, 2, 3, 1, +before, 1, -coref.
-num, -same, 2, 3, 1, +before, 0, -coref.
+num, -same, 1, 4, 1, +before, 0, -coref.
-num, +same, 0, 0, 1, +before, 0, -coref.
+num, +same, 0, 2, 1, -before, 0, +coref.
-num, +same, 1, 3, 1, -before, 0, -coref.
+num, +same, 2, 4, 1, -before, 1, -coref.
-num, +same, 2, 4, 1, -before, 0, -coref.
+num, +same, 3, 5, 1, -before, 1, -coref.
-num, +same, 3, 5, 1, -before, 0, -coref.
-num, +same, 4, 6, 1, -before, 0, -coref.
-num, +same, 5, 7, 1, -before, 0, -coref.

-num, -same, 9, 0, 2, +before, 0, -coref.
-num, -same, 8, 1, 2, +before, 1, -coref.
+num, -same, 8, 1, 2, +before, 0, -coref.
-num, -same, 7, 2, 2, +before, 0, -coref.
-num, -same, 6, 3, 2, +before, 0, -coref.
+num, -same, 5, 4, 2, +before, 0, +coref.
-num, -same, 4, 5, 2, +before, 0, -coref.
+num, -same, 3, 6, 2, +before, 0, +coref.
-num, -same, 2, 7, 2, +before, 1, -coref.
-num, -same, 2, 7, 2, +before, 0, -coref.
+num, +same, 1, 0, 2, +before, 0, +coref.
-num, +same, 0, 1, 2, +before, 1, -coref.
+num, +same, 0, 1, 2, +before, 0, -coref.
+num, +same, 0, 3, 2, -before, 0, -coref.
-num, +same, 1, 4, 2, -before, 0, -coref.
-num, +same, 2, 5, 2, -before, 0, -coref.
+num, +same, 3, 6, 2, -before, 0, -coref.

